title,address,access,age,floor,rent,management_fee,deposit,gratuity,room_layout,area
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
32階",20万円,18000円,40万円,20万円,1LDK,36.22m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
3階",23万円,-,46万円,23万円,1LDK,47.43m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
20階",29万円,-,58万円,29万円,2LDK,58.8m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
14階",35万円,-,70万円,35万円,3LDK,70.12m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
22階",31万円,40000円,62万円,31万円,2LDK,66.04m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
8階",36万円,-,72万円,36万円,3SLDK,74.44m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
39階",40万円,-,40万円,40万円,3LDK,73.51m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
39階",40万円,20000円,40万円,40万円,3LDK,73.51m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
39階",40万円,20000円,40万円,40万円,3LDK,73.51m2
富久クロスコンフォートタワー,東京都新宿区富久町,"
東京メトロ丸ノ内線/新宿御苑前駅 歩5分
東京メトロ丸ノ内線/新宿三丁目駅 歩8分
都営新宿線/曙橋駅 歩10分
","
築7年
地下2地上55階建
","
34階",40万円,20000円,40万円,40万円,2LDK,73.51m2
